,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Num_of_Routes_Covered,Month,Duration_min,Season,1_Long_layover,Change_airports,Business_class,Flight_Dept_Slot,Day_of_Dept,Is_Weekend,Price_capped,Arrival_Hour,Journey_Month,Price_Category,Route_Pair,Airline_enc,Source_enc,Destination_enc,Season_enc,Flight_Dept_Slot_enc
10,Air India,2019-06-01,Delhi,Cochin,DEL → BLR → COK,1900-01-01 09:45:00,2026-02-07 23:00:00,13h 15m,1,No info,8907,2,6,795,Monsoon,0,0,0,Mrng,Saturday,1,8907.0,23,6,High,Delhi → Cochin,1,2,1,0,2
11,IndiGo,2019-04-18,Kolkata,Banglore,CCU → BLR,1900-01-01 20:20:00,2026-02-07 22:55:00,2h 35m,0,No info,4174,1,4,155,Summer,0,0,0,Evng,Thursday,0,4174.0,22,4,Low,Kolkata → Banglore,3,3,0,1,1
12,Air India,2019-06-24,Chennai,Kolkata,MAA → CCU,1900-01-01 11:40:00,2026-02-07 13:55:00,2h 15m,0,No info,4667,1,6,135,Monsoon,0,0,0,Mrng,Monday,0,4667.0,13,6,Low,Chennai → Kolkata,1,1,4,0,2
13,Jet Airways,2019-05-09,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 21:10:00,2026-02-07 09:20:00,12h 10m,1,In-flight meal not included,9663,2,5,730,Summer,0,0,0,Nyt,Thursday,0,9663.0,9,5,High,Kolkata → Banglore,4,3,0,1,3
14,IndiGo,2019-04-24,Kolkata,Banglore,CCU → BLR,1900-01-01 17:15:00,2026-02-07 19:50:00,2h 35m,0,No info,4804,1,4,155,Summer,0,0,0,Evng,Wednesday,0,4804.0,19,4,Low,Kolkata → Banglore,3,3,0,1,1
15,Air India,2019-03-03,Delhi,Cochin,DEL → AMD → BOM → COK,1900-01-01 16:40:00,2026-02-07 19:15:00,26h 35m,2,No info,14011,3,3,1595,Summer,0,0,0,Aft,Sunday,1,14011.0,19,3,Very High,Delhi → Cochin,1,2,1,1,0
16,SpiceJet,2019-04-15,Delhi,Cochin,DEL → PNQ → COK,1900-01-01 08:45:00,2026-02-07 13:15:00,4h 30m,1,No info,5830,2,4,270,Summer,0,0,0,Mrng,Monday,0,5830.0,13,4,Medium,Delhi → Cochin,7,2,1,1,2
17,Jet Airways,2019-06-12,Delhi,Cochin,DEL → BOM → COK,1900-01-01 14:00:00,2026-02-07 12:35:00,22h 35m,1,In-flight meal not included,10262,2,6,1355,Monsoon,0,0,0,Aft,Wednesday,0,10262.0,12,6,High,Delhi → Cochin,4,2,1,0,0
18,Air India,2019-06-12,Delhi,Cochin,DEL → CCU → BOM → COK,1900-01-01 20:15:00,2026-02-07 19:15:00,23h,2,No info,13381,3,6,1380,Monsoon,0,0,0,Evng,Wednesday,0,13381.0,19,6,Very High,Delhi → Cochin,1,2,1,0,1
19,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1900-01-01 16:00:00,2026-02-07 12:35:00,20h 35m,1,In-flight meal not included,12898,2,5,1235,Summer,0,0,0,Aft,Monday,0,12898.0,12,5,Very High,Delhi → Cochin,4,2,1,1,0
20,GoAir,2019-03-06,Delhi,Cochin,DEL → BOM → COK,1900-01-01 14:10:00,2026-02-07 19:20:00,5h 10m,1,No info,19495,2,3,310,Summer,0,0,0,Aft,Wednesday,0,18766.85,19,3,Very High,Delhi → Cochin,2,2,1,1,0
21,Air India,2019-03-21,Banglore,New Delhi,BLR → COK → DEL,1900-01-01 22:00:00,2026-02-07 13:20:00,15h 20m,1,No info,6955,2,3,920,Summer,0,0,0,Nyt,Thursday,0,6955.0,13,3,Medium,Banglore → New Delhi,1,0,5,1,3
22,IndiGo,2019-04-03,Banglore,Delhi,BLR → DEL,1900-01-01 04:00:00,2026-02-07 06:50:00,2h 50m,0,No info,3943,1,4,170,Summer,0,0,0,Nyt,Wednesday,0,3943.0,6,4,Low,Banglore → Delhi,3,0,2,1,3
23,IndiGo,2019-05-01,Banglore,Delhi,BLR → DEL,1900-01-01 18:55:00,2026-02-07 21:50:00,2h 55m,0,No info,4823,1,5,175,Summer,0,0,0,Evng,Wednesday,0,4823.0,21,5,Low,Banglore → Delhi,3,0,2,1,1
24,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 18:55:00,2026-02-07 08:15:00,13h 20m,1,In-flight meal not included,7757,2,5,800,Summer,0,0,0,Evng,Monday,0,7757.0,8,5,Medium,Kolkata → Banglore,4,3,0,1,1
25,Jet Airways,2019-06-09,Delhi,Cochin,DEL → IDR → BOM → COK,1900-01-01 21:25:00,2026-02-07 12:35:00,15h 10m,2,No info,13292,3,6,910,Monsoon,0,0,0,Nyt,Sunday,1,13292.0,12,6,Very High,Delhi → Cochin,4,2,1,0,3
26,IndiGo,2019-06-01,Delhi,Cochin,DEL → LKO → COK,1900-01-01 21:50:00,2026-02-07 03:35:00,5h 45m,1,No info,8238,2,6,345,Monsoon,0,0,0,Nyt,Saturday,1,8238.0,3,6,High,Delhi → Cochin,3,2,1,0,3
27,GoAir,2019-05-15,Delhi,Cochin,DEL → BOM → COK,1900-01-01 07:00:00,2026-02-07 12:55:00,5h 55m,1,No info,7682,2,5,355,Summer,0,0,0,Mrng,Wednesday,0,7682.0,12,5,Medium,Delhi → Cochin,2,2,1,1,2
28,Vistara,2019-06-18,Banglore,Delhi,BLR → DEL,1900-01-01 09:45:00,2026-02-07 12:35:00,2h 50m,0,No info,4668,1,6,170,Monsoon,0,0,0,Mrng,Tuesday,0,4668.0,12,6,Low,Banglore → Delhi,9,0,2,0,2
29,Vistara,2019-06-15,Chennai,Kolkata,MAA → CCU,1900-01-01 07:05:00,2026-02-07 09:20:00,2h 15m,0,No info,3687,1,6,135,Monsoon,0,0,0,Mrng,Saturday,1,3687.0,9,6,Low,Chennai → Kolkata,9,1,4,0,2
30,Vistara,2019-06-18,Chennai,Kolkata,MAA → CCU,1900-01-01 07:05:00,2026-02-07 09:20:00,2h 15m,0,No info,3687,1,6,135,Monsoon,0,0,0,Mrng,Tuesday,0,3687.0,9,6,Low,Chennai → Kolkata,9,1,4,0,2
31,Air India,2019-05-01,Kolkata,Banglore,CCU → GAU → DEL → BLR,1900-01-01 09:50:00,2026-02-07 23:15:00,13h 25m,2,No info,13227,3,5,805,Summer,0,0,0,Mrng,Wednesday,0,13227.0,23,5,Very High,Kolkata → Banglore,1,3,0,1,2
32,IndiGo,2019-04-06,Banglore,Delhi,BLR → DEL,1900-01-01 04:00:00,2026-02-07 06:50:00,2h 50m,0,No info,4423,1,4,170,Summer,0,0,0,Nyt,Saturday,1,4423.0,6,4,Low,Banglore → Delhi,3,0,2,1,3
33,Jet Airways,2019-06-15,Delhi,Cochin,DEL → NAG → BOM → COK,1900-01-01 14:35:00,2026-02-07 12:35:00,22h,2,In-flight meal not included,10919,3,6,1320,Monsoon,0,0,0,Aft,Saturday,1,10919.0,12,6,High,Delhi → Cochin,4,2,1,0,0
34,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1900-01-01 07:05:00,2026-02-07 12:35:00,5h 30m,1,In-flight meal not included,12373,2,5,330,Summer,0,0,0,Mrng,Saturday,1,12373.0,12,5,Very High,Delhi → Cochin,4,2,1,1,2
35,IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,1900-01-01 10:35:00,2026-02-07 21:00:00,10h 25m,1,No info,5894,2,6,625,Monsoon,0,0,0,Mrng,Thursday,0,5894.0,21,6,Medium,Delhi → Cochin,3,2,1,0,2
36,SpiceJet,2019-05-21,Kolkata,Banglore,CCU → MAA → BLR,1900-01-01 15:05:00,2026-02-07 20:20:00,5h 15m,1,No info,4649,2,5,315,Summer,0,0,0,Aft,Tuesday,0,4649.0,20,5,Low,Kolkata → Banglore,7,3,0,1,0
37,Air India,2019-05-18,Kolkata,Banglore,CCU → BLR,1900-01-01 14:15:00,2026-02-07 16:45:00,2h 30m,0,No info,6245,1,5,150,Summer,0,0,0,Aft,Saturday,1,6245.0,16,5,Medium,Kolkata → Banglore,1,3,0,1,0
38,Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,1900-01-01 07:00:00,2026-02-07 13:15:00,6h 15m,1,No info,19225,2,3,375,Summer,0,0,0,Mrng,Wednesday,0,18766.85,13,3,Very High,Banglore → New Delhi,4,0,5,1,2
39,Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,1900-01-01 07:05:00,2026-02-07 19:00:00,11h 55m,1,No info,14924,2,6,715,Monsoon,0,0,0,Mrng,Monday,0,14924.0,19,6,Very High,Delhi → Cochin,4,2,1,0,2
40,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,1900-01-01 07:05:00,2026-02-07 18:10:00,11h 5m,1,No info,9646,2,5,665,Summer,0,0,0,Mrng,Tuesday,0,9646.0,18,5,High,Delhi → Cochin,5,2,1,1,2
41,Air India,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,1900-01-01 06:45:00,2026-02-07 15:15:00,8h 30m,1,No info,8714,2,3,510,Summer,0,0,0,Mrng,Friday,0,8714.0,15,3,High,Banglore → New Delhi,1,0,5,1,2
42,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1900-01-01 20:55:00,2026-02-07 19:00:00,22h 5m,1,In-flight meal not included,12373,2,5,1325,Summer,0,0,0,Evng,Saturday,1,12373.0,19,5,Very High,Delhi → Cochin,4,2,1,1,1
43,Air Asia,2019-05-06,Banglore,Delhi,BLR → DEL,1900-01-01 11:10:00,2026-02-07 13:55:00,2h 45m,0,No info,3383,1,5,165,Summer,0,0,0,Mrng,Monday,0,3383.0,13,5,Low,Banglore → Delhi,0,0,2,1,2
44,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,1900-01-01 09:00:00,2026-02-07 21:00:00,12h,1,No info,13062,2,3,720,Summer,0,0,0,Mrng,Thursday,0,13062.0,21,3,Very High,Delhi → Cochin,5,2,1,1,2
45,SpiceJet,2019-03-24,Banglore,New Delhi,BLR → DEL,1900-01-01 05:45:00,2026-02-07 08:35:00,2h 50m,0,No check-in baggage included,3527,1,3,170,Summer,0,0,0,Mrng,Sunday,1,3527.0,8,3,Low,Banglore → New Delhi,7,0,5,1,2
46,IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,1900-01-01 04:00:00,2026-02-07 06:50:00,2h 50m,0,No info,3943,1,5,170,Summer,0,0,0,Nyt,Monday,0,3943.0,6,5,Low,Banglore → Delhi,3,0,2,1,3
47,Air India,2019-05-03,Chennai,Kolkata,MAA → CCU,1900-01-01 11:40:00,2026-02-07 13:55:00,2h 15m,0,No info,4667,1,5,135,Summer,0,0,0,Mrng,Friday,0,4667.0,13,5,Low,Chennai → Kolkata,1,1,4,1,2
48,Air India,2019-05-15,Kolkata,Banglore,CCU → HYD → BLR,1900-01-01 19:00:00,2026-02-07 11:05:00,16h 5m,1,No info,6117,2,5,965,Summer,0,0,0,Evng,Wednesday,0,6117.0,11,5,Medium,Kolkata → Banglore,1,3,0,1,1
49,Jet Airways,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,1900-01-01 23:05:00,2026-02-07 19:00:00,19h 55m,2,In-flight meal not included,11150,3,6,1195,Monsoon,0,0,0,Nyt,Thursday,0,11150.0,19,6,High,Delhi → Cochin,4,2,1,0,3
50,Jet Airways,2019-03-09,Delhi,Cochin,DEL → COK,1900-01-01 11:00:00,2026-02-07 14:15:00,3h 15m,0,In-flight meal not included,7202,1,3,195,Summer,0,0,0,Mrng,Saturday,1,7202.0,14,3,Medium,Delhi → Cochin,4,2,1,1,2
51,Jet Airways,2019-05-01,Kolkata,Banglore,CCU → DEL → BLR,1900-01-01 09:35:00,2026-02-07 10:55:00,25h 20m,1,No info,12121,2,5,1520,Summer,0,0,0,Mrng,Wednesday,0,12121.0,10,5,High,Kolkata → Banglore,4,3,0,1,2
52,IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,1900-01-01 22:20:00,2026-02-07 01:10:00,2h 50m,0,No info,4377,1,3,170,Summer,0,0,0,Nyt,Sunday,1,4377.0,1,3,Low,Banglore → New Delhi,3,0,5,1,3
53,IndiGo,2019-06-18,Banglore,Delhi,BLR → DEL,1900-01-01 21:15:00,2026-02-07 00:15:00,3h,0,No info,3943,1,6,180,Monsoon,0,0,0,Nyt,Tuesday,0,3943.0,0,6,Low,Banglore → Delhi,3,0,2,0,3
54,Air Asia,2019-04-03,Banglore,Delhi,BLR → DEL,1900-01-01 23:55:00,2026-02-07 02:45:00,2h 50m,0,No info,4483,1,4,170,Summer,0,0,0,Nyt,Wednesday,0,4483.0,2,4,Low,Banglore → Delhi,0,0,2,1,3
55,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 19:45:00,2026-02-07 12:00:00,16h 15m,1,No info,14231,2,3,975,Summer,0,0,0,Evng,Sunday,1,14231.0,12,3,Very High,Kolkata → Banglore,4,3,0,1,1
56,Air India,2019-03-01,Banglore,New Delhi,BLR → BOM → AMD → DEL,1900-01-01 08:50:00,2026-02-07 23:55:00,15h 5m,2,No info,17345,3,3,905,Summer,0,0,0,Mrng,Friday,0,17345.0,23,3,Very High,Banglore → New Delhi,1,0,5,1,2
57,Vistara,2019-03-06,Chennai,Kolkata,MAA → CCU,1900-01-01 07:05:00,2026-02-07 09:20:00,2h 15m,0,No info,7414,1,3,135,Summer,0,0,0,Mrng,Wednesday,0,7414.0,9,3,Medium,Chennai → Kolkata,9,1,4,1,2
58,Multiple carriers,2019-05-06,Delhi,Cochin,DEL → BOM → COK,1900-01-01 19:00:00,2026-02-07 01:30:00,6h 30m,1,No info,8073,2,5,390,Summer,0,0,0,Evng,Monday,0,8073.0,1,5,Medium,Delhi → Cochin,5,2,1,1,1
59,Vistara,2019-03-06,Mumbai,Hyderabad,BOM → DEL → HYD,1900-01-01 15:40:00,2026-02-07 16:45:00,25h 5m,1,No info,12395,2,3,1505,Summer,0,0,0,Aft,Wednesday,0,12395.0,16,3,Very High,Mumbai → Hyderabad,9,4,3,1,0
60,Air India,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 09:25:00,2026-02-07 21:50:00,12h 25m,1,No info,8366,2,6,745,Monsoon,0,0,0,Mrng,Thursday,0,8366.0,21,6,High,Kolkata → Banglore,1,3,0,0,2
61,Air India,2019-04-03,Delhi,Cochin,DEL → MAA → COK,1900-01-01 06:05:00,2026-02-07 09:25:00,27h 20m,1,No info,5117,2,4,1640,Summer,0,0,0,Mrng,Wednesday,0,5117.0,9,4,Low,Delhi → Cochin,1,2,1,1,2
62,Multiple carriers,2019-06-03,Delhi,Cochin,DEL → BOM → COK,1900-01-01 08:45:00,2026-02-07 19:00:00,10h 15m,1,No info,12524,2,6,615,Monsoon,0,0,0,Mrng,Monday,0,12524.0,19,6,Very High,Delhi → Cochin,5,2,1,0,2
63,IndiGo,2019-05-15,Delhi,Cochin,DEL → BOM → COK,1900-01-01 15:00:00,2026-02-07 01:30:00,10h 30m,1,No info,7191,2,5,630,Summer,0,0,0,Aft,Wednesday,0,7191.0,1,5,Medium,Delhi → Cochin,3,2,1,1,0
64,Vistara,2019-05-24,Chennai,Kolkata,MAA → CCU,1900-01-01 07:05:00,2026-02-07 09:20:00,2h 15m,0,No info,3687,1,5,135,Summer,0,0,0,Mrng,Friday,0,3687.0,9,5,Low,Chennai → Kolkata,9,1,4,1,2
65,IndiGo,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1900-01-01 10:35:00,2026-02-07 21:00:00,10h 25m,1,No info,5894,2,6,625,Monsoon,0,0,0,Mrng,Monday,0,5894.0,21,6,Medium,Delhi → Cochin,3,2,1,0,2
66,Vistara,2019-04-24,Banglore,Delhi,BLR → DEL,1900-01-01 09:45:00,2026-02-07 12:35:00,2h 50m,0,No info,5403,1,4,170,Summer,0,0,0,Mrng,Wednesday,0,5403.0,12,4,Medium,Banglore → Delhi,9,0,2,1,2
67,Air India,2019-05-06,Mumbai,Hyderabad,BOM → HYD,1900-01-01 13:55:00,2026-02-07 15:25:00,1h 30m,0,No info,3625,1,5,90,Summer,0,0,0,Aft,Monday,0,3625.0,15,5,Low,Mumbai → Hyderabad,1,4,3,1,0
68,Air India,2019-05-21,Delhi,Cochin,DEL → BHO → BOM → COK,1900-01-01 05:55:00,2026-02-07 19:15:00,13h 20m,2,No info,10861,3,5,800,Summer,0,0,0,Mrng,Tuesday,0,10861.0,19,5,High,Delhi → Cochin,1,2,1,1,2
69,IndiGo,2019-03-12,Chennai,Kolkata,MAA → CCU,1900-01-01 13:20:00,2026-02-07 15:35:00,2h 15m,0,No info,6297,1,3,135,Summer,0,0,0,Aft,Tuesday,0,6297.0,15,3,Medium,Chennai → Kolkata,3,1,4,1,0
70,Jet Airways,2019-06-01,Mumbai,Hyderabad,BOM → HYD,1900-01-01 07:05:00,2026-02-07 08:30:00,1h 25m,0,No info,5678,1,6,85,Monsoon,0,0,0,Mrng,Saturday,1,5678.0,8,6,Medium,Mumbai → Hyderabad,4,4,3,0,2
71,Jet Airways,2019-03-09,Banglore,New Delhi,BLR → BOM → DEL,1900-01-01 05:45:00,2026-02-07 08:15:00,26h 30m,1,In-flight meal not included,9134,2,3,1590,Summer,0,0,0,Mrng,Saturday,1,9134.0,8,3,High,Banglore → New Delhi,4,0,5,1,2
72,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1900-01-01 11:40:00,2026-02-07 19:00:00,7h 20m,1,In-flight meal not included,10791,2,6,440,Monsoon,0,0,0,Mrng,Monday,0,10791.0,19,6,High,Delhi → Cochin,5,2,1,0,2
73,Jet Airways,2019-06-24,Delhi,Cochin,DEL → AMD → BOM → COK,1900-01-01 23:05:00,2026-02-07 12:35:00,13h 30m,2,No info,12819,3,6,810,Monsoon,0,0,0,Nyt,Monday,0,12819.0,12,6,Very High,Delhi → Cochin,4,2,1,0,3
74,IndiGo,2019-03-21,Delhi,Cochin,DEL → BLR → COK,1900-01-01 05:05:00,2026-02-07 10:05:00,5h,1,No info,6893,2,3,300,Summer,0,0,0,Mrng,Thursday,0,6893.0,10,3,Medium,Delhi → Cochin,3,2,1,1,2
75,Vistara,2019-03-09,Banglore,New Delhi,BLR → DEL,1900-01-01 09:50:00,2026-02-07 12:35:00,2h 45m,0,No info,7240,1,3,165,Summer,0,0,0,Mrng,Saturday,1,7240.0,12,3,Medium,Banglore → New Delhi,9,0,5,1,2
76,GoAir,2019-04-03,Banglore,Delhi,BLR → DEL,1900-01-01 11:40:00,2026-02-07 14:30:00,2h 50m,0,No info,3898,1,4,170,Summer,0,0,0,Mrng,Wednesday,0,3898.0,14,4,Low,Banglore → Delhi,2,0,2,1,2
77,IndiGo,2019-04-03,Mumbai,Hyderabad,BOM → HYD,1900-01-01 06:25:00,2026-02-07 07:55:00,1h 30m,0,No info,4049,1,4,90,Summer,0,0,0,Mrng,Wednesday,0,4049.0,7,4,Low,Mumbai → Hyderabad,3,4,3,1,2
78,Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,1900-01-01 17:30:00,2026-02-07 12:35:00,19h 5m,1,In-flight meal not included,10262,2,6,1145,Monsoon,0,0,0,Evng,Saturday,1,10262.0,12,6,High,Delhi → Cochin,4,2,1,0,1
79,SpiceJet,2019-03-21,Chennai,Kolkata,MAA → CCU,1900-01-01 08:20:00,2026-02-07 10:35:00,2h 15m,0,No check-in baggage included,3332,1,3,135,Summer,0,0,0,Mrng,Thursday,0,3332.0,10,3,Low,Chennai → Kolkata,7,1,4,1,2
80,Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 21:10:00,2026-02-07 12:00:00,14h 50m,1,In-flight meal not included,10844,2,6,890,Monsoon,0,0,0,Nyt,Sunday,1,10844.0,12,6,High,Kolkata → Banglore,4,3,0,0,3
81,Jet Airways,2019-03-24,Banglore,New Delhi,BLR → DEL,1900-01-01 19:55:00,2026-02-07 22:35:00,2h 40m,0,No info,7229,1,3,160,Summer,0,0,0,Evng,Sunday,1,7229.0,22,3,Medium,Banglore → New Delhi,4,0,5,1,1
82,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 06:30:00,2026-02-07 04:40:00,22h 10m,1,No info,13941,2,5,1330,Summer,0,0,0,Mrng,Monday,0,13941.0,4,5,Very High,Kolkata → Banglore,4,3,0,1,2
83,IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,1900-01-01 11:25:00,2026-02-07 21:00:00,9h 35m,1,No info,5894,2,6,575,Monsoon,0,0,0,Mrng,Thursday,0,5894.0,21,6,Medium,Delhi → Cochin,3,2,1,0,2
84,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1900-01-01 09:00:00,2026-02-07 19:00:00,10h,1,No info,10197,2,5,600,Summer,0,0,0,Mrng,Saturday,1,10197.0,19,5,High,Delhi → Cochin,5,2,1,1,2
85,Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,1900-01-01 14:05:00,2026-02-07 11:25:00,21h 20m,1,In-flight meal not included,13712,2,3,1280,Summer,0,0,0,Aft,Wednesday,0,13712.0,11,3,Very High,Banglore → New Delhi,4,0,5,1,0
86,IndiGo,2019-06-24,Delhi,Cochin,DEL → MAA → COK,1900-01-01 02:00:00,2026-02-07 07:25:00,5h 25m,1,No info,5636,2,6,325,Monsoon,0,0,0,Nyt,Monday,0,5636.0,7,6,Medium,Delhi → Cochin,3,2,1,0,3
87,Jet Airways,2019-06-06,Delhi,Cochin,DEL → JAI → BOM → COK,1900-01-01 09:40:00,2026-02-07 04:25:00,18h 45m,2,No info,13014,3,6,1125,Monsoon,0,0,0,Mrng,Thursday,0,13014.0,4,6,Very High,Delhi → Cochin,4,2,1,0,2
88,Jet Airways,2019-04-01,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 08:25:00,2026-02-07 20:45:00,12h 20m,1,In-flight meal not included,7064,2,4,740,Summer,0,0,0,Mrng,Monday,0,7064.0,20,4,Medium,Kolkata → Banglore,4,3,0,1,2
89,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,1900-01-01 20:25:00,2026-02-07 14:25:00,18h,1,In-flight meal not included,10703,2,5,1080,Summer,0,0,0,Evng,Friday,0,10703.0,14,5,High,Kolkata → Banglore,4,3,0,1,1
90,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → HYD → COK,1900-01-01 13:15:00,2026-02-07 22:30:00,9h 15m,1,No info,9646,2,5,555,Summer,0,0,0,Aft,Monday,0,9646.0,22,5,High,Delhi → Cochin,5,2,1,1,0
91,Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,1900-01-01 02:15:00,2026-02-07 13:20:00,11h 5m,1,No info,17057,2,3,665,Summer,0,0,0,Nyt,Wednesday,0,17057.0,13,3,Very High,Delhi → Cochin,5,2,1,1,3
92,Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,1900-01-01 16:55:00,2026-02-07 10:25:00,17h 30m,1,No info,13817,2,3,1050,Summer,0,0,0,Aft,Tuesday,0,13817.0,10,3,Very High,Banglore → New Delhi,4,0,5,1,0
93,Air India,2019-03-06,Delhi,Cochin,DEL → BHO → BOM → COK,1900-01-01 05:55:00,2026-02-07 19:15:00,13h 20m,2,No info,13748,3,3,800,Summer,0,0,0,Mrng,Wednesday,0,13748.0,19,3,Very High,Delhi → Cochin,1,2,1,1,2
94,Air India,2019-04-21,Kolkata,Banglore,CCU → BLR,1900-01-01 20:45:00,2026-02-07 23:20:00,2h 35m,0,No info,4880,1,4,155,Summer,0,0,0,Evng,Sunday,1,4880.0,23,4,Low,Kolkata → Banglore,1,3,0,1,1
95,IndiGo,2019-06-21,Chennai,Kolkata,MAA → CCU,1900-01-01 05:15:00,2026-02-07 07:40:00,2h 25m,0,No info,3540,1,6,145,Monsoon,0,0,0,Mrng,Friday,0,3540.0,7,6,Low,Chennai → Kolkata,3,1,4,0,2
96,SpiceJet,2019-05-15,Banglore,Delhi,BLR → DEL,1900-01-01 05:55:00,2026-02-07 08:35:00,2h 40m,0,No check-in baggage included,3257,1,5,160,Summer,0,0,0,Mrng,Wednesday,0,3257.0,8,5,Low,Banglore → Delhi,7,0,2,1,2
